FSN,Animal_Name,Animal_Count,Animal_Distance,Keep_Inside_House,Days_Inside_House
45404,"Poultry (chickens, ducks, pigeon)",1,0,1,365
45408,Goats,1,1,1,120
45408,"Poultry (chickens, ducks, pigeon)",4,1,1,120
45409,"Poultry (chickens, ducks, pigeon)",1,0,1,365
45410,Goats,2,0,1,365
45411,Goats,3,3,0,-1
45412,Goats,3,0,1,365
45413,Goats,2,0,1,365
45414,"Poultry (chickens, ducks, pigeon)",1,0,1,365
45421,Goats,1,0,1,365
45427,Goats,1,0,1,365
45428,Goats,2,0,1,365
45438,Cows/Oxen,1,5,0,-1
45441,Cows/Oxen,1,6,0,-1
45448,Cows/Oxen,4,10,0,-1
45448,"Poultry (chickens, ducks, pigeon)",5,0,1,-1
45450,Cows/Oxen,1,5,0,-1
45450,Buffaloes,2,5,0,-1
45451,Cows/Oxen,1,5,0,-1
45452,Buffaloes,2,8,1,100
45453,Cows/Oxen,1,4,0,-1
45454,Cows/Oxen,3,5,0,-1
45455,Cows/Oxen,1,10,0,-1
45456,Cows/Oxen,2,5,0,-1
45459,Buffaloes,1,5,0,-1
45460,Buffaloes,1,20,0,-1
45462,Cows/Oxen,2,5,0,-1
45462,Buffaloes,2,5,0,-1
45464,Cows/Oxen,1,5,1,-1
45466,Cows/Oxen,1,0,0,-1
45467,Cows/Oxen,1,5,0,-1
45468,Goats,1,0,1,60
45468,"Poultry (chickens, ducks, pigeon)",1,0,1,90
45470,Goats,1,0,1,365
45472,Goats,1,0,1,365
45474,Goats,1,0,1,365
45477,Goats,2,0,1,365
45478,Goats,3,0,1,180
45482,Goats,1,0,1,365
45483,Goats,1,0,1,365
45485,Goats,3,0,1,365
45486,Goats,1,0,1,365
45487,Goats,4,0,1,365
45487,"Poultry (chickens, ducks, pigeon)",1,0,1,365
45488,"Poultry (chickens, ducks, pigeon)",1,0,1,365
45489,"Poultry (chickens, ducks, pigeon)",2,0,1,365
45490,Buffaloes,1,35,0,-1
45491,Buffaloes,1,10,0,-1
45495,Cows/Oxen,1,10,0,-1
45496,Goats,2,1,0,-1
45497,Goats,3,5,1,300
45497,"Poultry (chickens, ducks, pigeon)",2,2,1,365
45499,Goats,2,0,1,365
45499,Pigs,1,0,1,365
45502,Goats,2,0,1,365
45505,Goats,2,0,1,365
45505,"Poultry (chickens, ducks, pigeon)",2,0,1,365
45509,Cows/Oxen,1,5,0,-1
45510,Cows/Oxen,2,6,0,-1
45513,Cows/Oxen,1,35,0,-1
45514,"Poultry (chickens, ducks, pigeon)",2,0,1,365
45515,Goats,2,0,1,365
45515,"Poultry (chickens, ducks, pigeon)",7,0,1,365
45519,"Poultry (chickens, ducks, pigeon)",2,0,1,30
45526,Goats,2,3,1,220
45530,Goats,2,0,1,365
45531,Goats,5,0,1,365
45531,"Poultry (chickens, ducks, pigeon)",7,0,1,365
45536,Goats,4,0,1,360
45539,Goats,1,0,1,365
45539,"Poultry (chickens, ducks, pigeon)",4,0,1,365
45540,Goats,1,0,1,365
45540,"Poultry (chickens, ducks, pigeon)",1,0,1,365
45543,Goats,2,0,1,365
45543,"Poultry (chickens, ducks, pigeon)",3,0,1,365
45545,Goats,5,0,1,365
45545,"Poultry (chickens, ducks, pigeon)",3,0,1,365
45550,Goats,2,0,1,365
45556,Cows/Oxen,1,10,0,-1
45557,Cows/Oxen,1,10,0,-1
45564,Goats,1,0,1,5
45566,"Poultry (chickens, ducks, pigeon)",2,0,1,60
45569,Goats,1,0,1,30
45574,Cows/Oxen,1,4,0,-1
45579,Goats,1,0,1,365
45580,Goats,2,4,0,-1
45580,"Poultry (chickens, ducks, pigeon)",2,0,1,7
45581,Goats,1,3,1,365
45581,"Poultry (chickens, ducks, pigeon)",2,0,1,60
45583,Goats,2,0,1,365
45584,"Poultry (chickens, ducks, pigeon)",2,0,1,60
45587,Goats,1,0,1,90
45588,Goats,3,0,1,365
45589,Goats,2,0,1,365
45590,"Poultry (chickens, ducks, pigeon)",5,0,1,365
45591,"Poultry (chickens, ducks, pigeon)",2,0,1,365
45592,Goats,5,3,0,-1
45593,Cows/Oxen,1,3,1,90
45593,"Poultry (chickens, ducks, pigeon)",2,0,1,365
45594,Buffaloes,1,2,0,-1
45597,Cows/Oxen,1,3,0,-1
45604,Cows/Oxen,2,6,0,-1
45604,Goats,1,0,1,365
45605,Goats,2,15,0,-1
45609,Goats,2,5,0,-1
45611,Goats,2,5,0,-1
45612,Goats,4,8,0,-1
45614,Other,2,0,1,365
45616,Goats,4,0,1,365
45617,Goats,2,0,1,365
45619,Buffaloes,1,6,0,-1
45620,Goats,3,0,1,365
45620,"Poultry (chickens, ducks, pigeon)",1,0,1,365
45621,Goats,4,0,1,365
45622,Goats,1,0,1,365
45630,Goats,6,2,0,-1
45654,Goats,1,3,1,210
45655,Goats,1,5,0,-1
45657,Goats,2,3,0,-1
45661,Cows/Oxen,1,9,0,-1
45661,Buffaloes,1,9,0,-1
45663,Goats,1,3,1,240
45666,Goats,1,2,0,-1
45667,"Poultry (chickens, ducks, pigeon)",3,0,1,365
45668,Goats,4,0,1,365
45669,Cows/Oxen,2,7,0,-1
45669,Goats,4,0,1,250
45670,Cows/Oxen,2,5,0,-1
45670,Dogs,1,2,0,-1
45673,Goats,1,2,0,-1
45676,Goats,2,0,1,365
45681,Goats,3,0,1,365
45683,Goats,1,0,1,365
45683,"Poultry (chickens, ducks, pigeon)",3,0,1,365
45685,Goats,1,0,1,365
45687,Cows/Oxen,1,5,0,-1
45688,Goats,1,2,0,-1
45688,"Poultry (chickens, ducks, pigeon)",2,0,1,365
45689,"Poultry (chickens, ducks, pigeon)",2,0,1,365
45690,Goats,1,0,1,365
45691,Goats,2,0,1,30
45692,Goats,1,0,1,90
45693,"Poultry (chickens, ducks, pigeon)",2,0,1,30
45695,Goats,3,5,0,-1
45697,Goats,2,0,1,180
45700,"Poultry (chickens, ducks, pigeon)",4,0,1,60
45701,Goats,1,0,1,30
45701,"Poultry (chickens, ducks, pigeon)",2,0,1,365
45704,Goats,3,5,0,-1
45705,Buffaloes,2,5,0,-1
45707,Goats,5,0,1,365
45708,Goats,2,0,1,365
45709,Goats,1,0,1,365
45711,Goats,1,0,1,365
45713,Goats,4,0,1,365
45715,Cows/Oxen,1,2,1,90
45717,Buffaloes,1,10,0,-1
45722,Buffaloes,2,5,0,-1
45723,Buffaloes,1,10,0,-1
45724,Cows/Oxen,2,25,0,-1
45725,Cows/Oxen,1,5,0,-1
45725,Buffaloes,2,5,0,-1
45726,Cows/Oxen,1,5,0,-1
45728,Cows/Oxen,2,10,0,-1
45735,Buffaloes,1,100,0,-1
45735,Goats,2,0,1,365
45736,Buffaloes,1,1,0,-1
45736,Goats,1,0,1,180
45737,Buffaloes,1,2,1,90
45737,Goats,1,0,1,365
45738,Cows/Oxen,1,2,0,-1
45739,Buffaloes,1,2,1,12
45740,Goats,5,0,1,365
45741,Buffaloes,2,5,1,120
45741,Goats,2,2,1,365
45742,Buffaloes,1,20,0,-1
45742,Goats,2,0,1,365
45745,Buffaloes,1,10,1,120
45745,Goats,1,0,1,365
45748,Goats,3,0,1,365
45749,Cows/Oxen,2,8,0,-1
45749,Buffaloes,1,7,0,-1
45749,Goats,2,4,1,120
45750,Cows/Oxen,2,10,0,-1
45750,Buffaloes,1,10,0,-1
